YEAR,Aman,Aus,Boro,Jute,Potato,Wheat
1969,71.66666667,87,77,74.25,69.25,69.25
1970,71.33333333,86.5,77.66666667,73.75,69.25,69.25
1971,72,84.5,77.66666667,73.5,70,70
1972,67.66666667,86.5,78.66666667,74,66.25,66.25
1973,76.33333333,86.5,82,77,73,73
1974,72,84.5,77.66666667,73.5,69.75,69.75
1975,71,87,78,72.75,70,70
1976,70.33333333,87,78,74.5,69.25,69.25
1977,73,85.5,84,80.25,70,70
1978,69.33333333,85,81.66666667,74.5,67.5,67.5
1979,73.66666667,85.5,73.66666667,73,71.75,71.75
1980,69.66666667,85.5,77.66666667,73,69,69
1981,68.66666667,86,78.33333333,75,67.25,67.25
1982,73.66666667,85,77,73.75,71,71
1983,70.33333333,85.5,78.66666667,76.5,68,68
1984,70,86,79.66666667,73.75,67.5,67.5
1985,71,84,79,76.5,68,68
1986,75.33333333,83.5,77.66666667,72,72.75,72.75
1987,73.33333333,86,77,74,71.75,71.75
1988,73.33333333,84.5,79.66666667,77,71,71
1989,74.66666667,81.5,76,71.5,73.25,73.25
1990,71.66666667,85,80,78.25,69.5,69.5
1991,72,84.5,77.66666667,73.5,69.75,69.75
1992,73.33333333,84.5,77.66666667,73.5,72.25,72.25
1993,74.33333333,84.5,77.33333333,73.5,72.5,72.5
1994,66.66666667,80,75.66666667,73,66.5,66.5
1995,72.33333333,82,73.33333333,69.5,71,71
1996,72.66666667,84.5,77,74.5,70.5,70.5
1997,77.33333333,85,78,75,75,75
1998,75.66666667,86.5,78,74.5,73,73
1999,73,85,77,72,70,70
2000,68.33333333,80.5,77,73.5,66.75,66.75
2001,73.66666667,82,76.66666667,71.5,69.75,69.75
2002,74.33333333,83.5,78.66666667,73.5,72.25,72.25
2003,71.33333333,79.5,75.33333333,72.75,68.75,68.75
2004,70,80.5,74.33333333,71.5,67.75,67.75
2005,69.66666667,82.5,73.66666667,72,68.75,68.75
2006,69,79,74.33333333,69.25,69,69
2007,72.66666667,83,74,69.25,70,70
2008,74,83,72.33333333,71.25,69.25,69.25
2009,69.66666667,81,71,66.5,66.5,66.5
2010,68,78,72.66666667,69.25,64.75,64.75
2011,69,81,74,70,64.75,64.75
2012,70,79.5,72.66666667,69,66.5,66.5
2013,70,79.5,73.33333333,68.75,,
