YEAR,Aman,Aus,Boro,Jute,Potato,Wheat
1969,312720,185035,161180,668225,268925,5240
1970,266655,145300,167805,686040,267515,5540
1971,302490,150285,177115,622465,266550,5265
1972,275915,104565,211130,604730,259070,4832
1973,304915,138340,215770,503630,250920,4248
1974,252415,154415,191975,343070,217475,4080
1975,357875,152100,216165,350630,236940,5367
1976,316265,154110,224573,523270,218920,10734
1977,344075,162935,236439,566686,253945,14082
1978,358310,160060,249811,628470,252570,10734
1979,332765,149470,285999,528470,277002,14082
1980,337585,162670,323362,629470,287020,31320
1981,315175,179105,348092,452640,290870,37560
1982,315055,181500,391038,424715,296792,46420
1983,312090,192720,326818,425560,288087,49680
1984,301180,159694,329105,437190,258555,77940
1985,309690,123688,290765,510765,248270,75475
1986,335545,143855,341550,429457,255505,51555
1987,258080,35201,364608,382680,349065,64080
1988,148600,108760,474930,178385,247887,51550
1989,241600,109475,564625,323210,197120,48360
1990,249020,89550,640221,385010,267445,50230
1991,261330,73170,624965,338860,432780,61290
1992,266390,73170,609125,387890,467145,57410
1993,242210,61690,600549,307840,528360,57660
1994,231800,55010,531115,359000,528360,59920
1995,188060,8120,590562,264790,571065,69240
1996,243080,49120,609334,322370,582285,71440
1997,208110,45980,671218,366020,581285,84850
1998,112120,37360,678180,242180,547600,88080
1999,241720,40990,736570,210530,694510,82530
2000,392150,44170,809320,217370,833190,72300
2001,383320,48540,849220,218610,811225,75290
2002,371430,42490,863620,218610,824560,62080
2003,401450,46340,866170,193850,20966,5935
2004,290585,22780,938662,29776,20966,4642
2005,310173,17518,862236,45835,28087,1921
2006,27604,1365,201881,45630,35097,1126
2007,10682,886,257873,29825,33679,1129
2008,31825,1644,240292,55858,42224,2306
2009,31715,1491,224105,63147,49029,710
2010,28826,1005,250090,67453,45670,1254
2011,26246,1021,224981,58982,41564,565
2012,30640,828,210152,57230,40571,513
2013,28302,1043,221080,52200,,
