YEAR,Aman,Aus,Boro,Jute,Potato,Wheat
1969,6,369,200,123.75,6.5,6.5
1970,11.66666667,388,171,134,15.75,15.75
1971,32.66666667,545,256.6666667,202.5,27.25,27.25
1972,0,314.5,313.6666667,238.25,5.25,5.25
1973,50.33333333,309.5,388.6666667,299.5,39.75,39.75
1974,7.666666667,330.5,247.6666667,196.25,13,13
1975,8.333333333,433,216.6666667,165.75,8,8
1976,2.666666667,353.5,373.3333333,309.25,18.5,18.5
1977,11.33333333,199,296,239.75,13.5,13.5
1978,1,373,392.3333333,298.75,4,4
1979,36.33333333,396,129.6666667,300,35.25,35.25
1980,3.333333333,324.5,294.6666667,300,13,13
1981,14.66666667,272,238,205.75,14.75,14.75
1982,21.66666667,241,257.3333333,213.25,31.5,31.5
1983,10.33333333,308,322,276,8,8
1984,2.666666667,502.5,489.3333333,368.25,2.25,2.25
1985,10.66666667,289.5,291.6666667,267.5,8,8
1986,59.66666667,307,247.3333333,191.25,44.75,44.75
1987,13.33333333,494,218.3333333,172,21,21
1988,52,212,458.3333333,362.25,47,47
1989,4,203,210.6666667,158,12,12
1990,45.33333333,397,195,184,36,36
1991,40.33333333,331.5,300.6666667,237,42,42
1992,2.333333333,284,103.3333333,77.5,15,15
1993,10.66666667,428.5,385,310.5,21.5,21.5
1994,7.333333333,199.5,240.3333333,209,13.25,13.25
1995,37.66666667,357,196.3333333,147.25,33.5,33.5
1996,0.666666667,309,250,201,2.25,2.25
1997,24,389.5,177.6666667,167.25,19,19
1998,27.66666667,536.5,224.6666667,189.25,20.75,20.75
1999,8.666666667,417.5,265.6666667,199.25,17.5,17.5
2000,0,313,284,256,0.25,0.25
2001,14,203.5,280,218.25,11.5,11.5
2002,13.33333333,359,252,201.75,16.25,16.25
2003,15,196.5,245.3333333,208,11.25,11.25
2004,0.333333333,243,268.3333333,203.5,1,1
2005,1,451.5,213.6666667,199,0.75,0.75
2006,1.666666667,249,230.6666667,173,8.75,8.75
2007,44.66666667,629,325.3333333,246.75,47.5,47.5
2008,0.333333333,441,291,229.5,0.5,0.5
2009,1.333333333,579,117.3333333,98.75,13,13
2010,27,253.5,174,136,20.25,20.25
2011,3.333333333,382.5,224,173,2.75,2.75
2012,24.33333333,254,193.6666667,154.5,20.25,20.25
2013,2,257,245,190.25,,
