YEAR,Aman,Aus,Boro,Jute,Potato,Wheat
1969,8.9,5.35,7,7.65,9.125,9.125
1970,9.033333333,5.45,7.766666667,8.05,8.875,8.875
1971,8.033333333,4.95,6.9,7.275,8.05,8.05
1972,8.7,4.95,6.9,7.275,8.85,8.85
1973,8.9,6.55,7.066666667,7.55,9.35,9.35
1974,9.3,4.15,7.9,8.175,9.375,9.375
1975,9.166666667,5.65,8.733333333,8.95,9.25,9.25
1976,8.066666667,5.75,7.666666667,8.275,8.125,8.125
1977,8.033333333,5.65,6.7,7.425,8.275,8.275
1978,8.233333333,5.25,5.9,6.3,8.375,8.375
1979,7.733333333,4.95,7,8,7.9,7.9
1980,7.9,4.9,6.733333333,8,7.875,7.875
1981,7.766666667,4.55,7.133333333,7.025,7.575,7.575
1982,7.5,5.45,6.566666667,6.7,7.625,7.625
1983,7.866666667,5.1,7.033333333,7.225,7.875,7.875
1984,8.533333333,4.25,6.133333333,6.75,8.55,8.55
1985,7.9,5.1,6.033333333,6.575,8.15,8.15
1986,8.133333333,5.15,7.533333333,7.925,8.3,8.3
1987,8.066666667,4,7.5,7.775,8.075,8.075
1988,7.833333333,4.25,6.266666667,6.75,8.1,8.1
1989,7.9,5.8,7.2,7.5,8.025,8.025
1990,8.033333333,4.95,6.9,7.275,8.125,8.125
1991,8.033333333,4.95,6.9,7.275,8.125,8.125
1992,7,4.45,7.333333333,7.6,7.1,7.1
1993,7.266666667,3.85,6.5,6.825,7.35,7.35
1994,6.866666667,5.4,6.4,6.625,6.7,6.7
1995,7.133333333,4.4,6.6,6.875,7.575,7.575
1996,6.766666667,3.85,6.4,7.05,7.025,7.025
1997,5.266666667,4.45,6.833333333,7.05,5.475,5.475
1998,7.5,3.2,6.633333333,7,7.5,7.5
1999,7.266666667,3.85,6.3,6.8,6.9,6.9
2000,8.066666667,4.85,6.066666667,6.675,7.85,7.85
2001,7,4.85,6.066666667,6.725,7.45,7.45
2002,6.033333333,3.05,5.433333333,6.025,6.375,6.375
2003,6.5,5.35,5.833333333,6.175,6.775,6.775
2004,6.933333333,4.7,5.733333333,6.2,7.175,7.175
2005,6.3,3.75,6.466666667,6.6,6.25,6.25
2006,5.733333333,5.5,5.466666667,5.925,5.725,5.725
2007,5.3,4.1,6.3,6.775,5.625,5.625
2008,5.866666667,3.55,6.8,6.575,6.575,6.575
2009,5.733333333,4.3,6.9,7,5.975,5.975
2010,5.766666667,4.65,5.8,6.425,6.2,6.2
2011,5.033333333,3.3,5.266666667,5.7,5.55,5.55
2012,4.366666667,3.85,5.4,5.95,5.025,5.025
2013,5.55,3.85,4.966666667,5.7,,
