YEAR,Aman,Aus,Boro,Jute,Potato,Wheat
1969,29.26666667,33.05,35,36.075,30.025,30.025
1970,28.46666667,34.2,36.16666667,36.425,29.25,29.25
1971,29.46666667,33,34.26666667,34.175,30.025,30.025
1972,31.06666667,34,36.03333333,36.2,31.7,31.7
1973,27.86666667,32.25,34.83333333,35.2,28.475,28.475
1974,28.5,31.7,33.66666667,33.725,29.35,29.35
1975,28.73333333,33.3,36.4,36.6,29.75,29.75
1976,29.5,32.6,35.9,36.175,30.2,30.2
1977,31.83333333,34,33.93333333,34.35,32.125,32.125
1978,30.33333333,33.35,35.26666667,35.475,30.525,30.525
1979,29.3,34.5,37.33333333,36,30.025,30.025
1980,29.46666667,33.2,36.43333333,36,30.325,30.325
1981,30.73333333,34.9,35.43333333,35.075,30.625,30.625
1982,29.13333333,34,37.56666667,37.2,29.775,29.775
1983,29.6,34,36.6,36.5,30.45,30.45
1984,30.4,33.95,36.4,36.8,30.9,30.9
1985,31.3,34.5,35.3,35.925,31.55,31.55
1986,30.63333333,35.25,37.33333333,37.875,31.475,31.475
1987,30.46666667,34.4,39.43333333,39.225,31.05,31.05
1988,30.06666667,34.65,37.33333333,37.25,30.7,30.7
1989,30.53333333,34.8,38.1,37.875,30.5,30.5
1990,29.8,34,34.7,34.675,30.6,30.6
1991,28.96666667,35.6,35.33333333,35.7,28.725,28.725
1992,29.96666667,34.5,37.06666667,36.95,30.475,30.475
1993,29.66666667,33.25,35.43333333,35.225,30,30
1994,30.66666667,34.05,36.16666667,35.925,30.7,30.7
1995,30.66666667,34.1,37.86666667,38.1,31,31
1996,30.53333333,34.8,36.8,37,30.725,30.725
1997,30,35.95,35.46666667,35.5,30.2,30.2
1998,31.1,34.35,36.33333333,35.95,31.875,31.875
1999,30.26666667,34.8,37.23333333,37.325,29.75,29.75
2000,29.26666667,35.1,35.63333333,35.225,29.8,29.8
2001,29.53333333,34,35.43333333,35.525,30.525,30.525
2002,29.66666667,34.65,34.7,34.9,30.15,30.15
2003,29.6,35.2,36.4,35.8,30.4,30.4
2004,29.66666667,34.55,36.16666667,36.05,30.275,30.275
2005,29.53333333,33.85,36.66666667,36.4,31.125,31.125
2006,30.5,35.4,36.3,36.85,30.575,30.575
2007,29.66666667,35.35,36.43333333,36.5,29.9,29.9
2008,29.8,35,36.33333333,35.9,30.825,30.825
2009,30.63333333,35,37.96666667,37.475,30.775,30.775
2010,30.23333333,35.1,36.86666667,36.975,30.425,30.425
2011,30.3,35.2,35.7,35.4,30.975,30.975
2012,29.66666667,34.4,36.66666667,36.825,30.35,30.35
2013,31.3,34.8,36.83333333,36.625,,
