YEAR,Aman,Aus,Boro,Jute,Potato,Wheat
1969,0.5,2,2,1.775,0.6,0.6
1970,0.6,1.8,2.266666667,2.05,0.625,0.625
1971,0.5,1.8,1.766666667,1.65,0.6,0.6
1972,0.6,1.85,2.533333333,2.4,0.75,0.75
1973,0.666666667,1.55,2,1.775,0.675,0.675
1974,0.433333333,1.7,1.933333333,1.775,0.5,0.5
1975,0.333333333,1.5,2.1,1.75,0.4,0.4
1976,0.333333333,1.75,1.9,1.825,0.475,0.475
1977,0.366666667,1.95,2.133333333,1.975,0.425,0.425
1978,0.466666667,1.55,1.866666667,1.625,0.5,0.5
1979,0.333333333,1.75,1.833333333,1.5,0.4,0.4
1980,0.3,1.5,2.333333333,1.5,0.275,0.275
1981,0.333333333,1.6,1.566666667,1.425,0.4,0.4
1982,0.3,2.05,1.933333333,1.65,0.375,0.375
1983,0.366666667,1.8,1.9,1.9,0.4,0.4
1984,0.266666667,1.3,1.8,1.625,0.325,0.325
1985,0.266666667,1.5,1.633333333,1.725,0.325,0.325
1986,0.433333333,1.3,1.5,1.35,0.45,0.45
1987,0.333333333,1.7,1.733333333,1.675,0.375,0.375
1988,0.6,1.75,1.8,1.575,0.725,0.725
1989,0.333333333,1.85,2.466666667,2.075,0.4,0.4
1990,0.566666667,1.6,2.1,1.875,0.625,0.625
1991,0.533333333,1.9,2.033333333,1.75,0.65,0.65
1992,0.5,1.7,1.966666667,2.025,0.575,0.575
1993,0.4,1.45,1.633333333,1.525,0.45,0.45
1994,0.333333333,1.6,1.566666667,1.6,0.4,0.4
1995,0.4,1.3,1.433333333,1.25,0.475,0.475
1996,0.233333333,0.85,1.066666667,1.075,0.275,0.275
1997,0.233333333,0.65,0.833333333,0.775,0.25,0.25
1998,0.266666667,0.7,0.9,0.775,0.3,0.3
1999,0.3,0.6,0.866666667,0.8,0.375,0.375
2000,0.366666667,1,1.133333333,1.05,0.4,0.4
2001,0.4,1.35,1.4,1.25,0.475,0.475
2002,0.7,1.05,1.433333333,1.325,0.75,0.75
2003,0.533333333,1.75,2.033333333,1.85,0.6,0.6
2004,0.5,1.75,1.766666667,1.725,0.65,0.65
2005,0.566666667,1.3,1.633333333,1.6,0.65,0.65
2006,0.433333333,1.15,1.033333333,1,0.475,0.475
2007,0.733333333,0.95,1.2,1.15,0.75,0.75
2008,0.866666667,1.05,1.366666667,1.3,1.275,1.275
2009,1.5,1.55,2.366666667,2.375,1.85,1.85
2010,2.166666667,2.4,3.4,3.325,2.225,2.225
2011,1.8,2.1,2.666666667,2.7,2.025,2.025
2012,1.666666667,2.2,2.466666667,2.5,1.8,1.8
2013,1.65,2.5,2.7,2.625,,
